nome_fantasia,slug,inicio_atividades,porte
"A & L MAGAZINE",NULL,"1998-02-02 00:00:00",1
A.M.M,NULL,"1997-12-19 00:00:00",5
ACAPSAL,NULL,"2003-04-29 00:00:00",5
ACEPA,NULL,"1997-12-01 00:00:00",5
"ACOUGUE SAO JOSE",NULL,"1998-02-17 00:00:00",1
"AELSON MOREIRA",NULL,"2003-06-12 00:00:00",1
AMADEF,NULL,"1997-10-24 00:00:00",5
AMBAVINSF,NULL,"2002-12-18 00:00:00",5
"AS FERRAGENS",NULL,"2003-06-18 00:00:00",5
ASPROCOP,NULL,"1998-02-10 00:00:00",5
"ASSENTAMENTO PANORAMA.",NULL,"2000-09-25 00:00:00",5
ASSISTEC,NULL,"2000-06-12 00:00:00",1
"ASSOC. DOS PROD. RURAIS E MOR. DO ASSENT. PAI INACIO",NULL,"2003-01-16 00:00:00",5
"ASSOCIAÇÃO TEATRO DA BARRA ESPACO CULTURAL CARMEN ASSIS",NULL,"2000-08-30 00:00:00",5
"AURI CONFECCOES",NULL,"2000-09-08 00:00:00",1
"AUTO LATA RECICLAGEM",NULL,"1998-02-25 00:00:00",5
"AUTO PECAS ALVES",NULL,"1997-10-17 00:00:00",1
"AUTO POSTO CARAIVA",NULL,"2005-04-25 00:00:00",5
"BALALAIKA CENTER",NULL,"2000-09-19 00:00:00",1
"BOMBONIERE SENSACAO",NULL,"2000-09-15 00:00:00",1
"BRAGA MOTOS",NULL,"2003-02-11 00:00:00",1
"BRUNA COSMETICOS",NULL,"1998-01-23 00:00:00",1
"CABANA SELENA",NULL,"2001-02-01 00:00:00",5
"CAIXA ESCOLAR",NULL,"1997-07-29 00:00:00",5
"CASA DA QUIMICA",NULL,"2005-04-26 00:00:00",1
"CASA ESTRELA",NULL,"1998-01-26 00:00:00",1
"CB TELECON",NULL,"2001-10-01 00:00:00",1
"CD'S E CIA",NULL,"1998-01-29 00:00:00",1
"CHURRASCARIA TEXACO",NULL,"2003-01-10 00:00:00",1
"CIA DO ATACADO",NULL,"1998-01-26 00:00:00",1
"CLARK'S MOTEL",NULL,"2000-09-28 00:00:00",1
"CLINICA ENDOCRINOLOGICA",NULL,"2003-06-11 00:00:00",5
"COMERCIAL RC",NULL,"2005-01-11 00:00:00",1
"CONFECCOES MECHELE RIO",NULL,"1998-02-06 00:00:00",1
"CONSTRUTORA JA",NULL,"2000-09-20 00:00:00",1
"CONTABILIDADE ANDRADE",NULL,"1997-10-15 00:00:00",1
"CRONOS CONSTRUCOES",NULL,"2000-06-07 00:00:00",1
"DATTOLI REPRESENTACOES",NULL,"2000-08-29 00:00:00",1
"DETONACAO MODAS",NULL,"2002-03-21 00:00:00",1
"DIRETORIO MUNICIPAL DO PT",NULL,"2000-05-15 00:00:00",5
"DR. JAIRO SILVA GONCALVES",NULL,"2005-06-06 00:00:00",1
"EMBALAGEM E BOMBONIERE SANTA CRUZ",NULL,"2003-05-30 00:00:00",1
EMBRIOLAB,NULL,"2004-08-02 00:00:00",3
"ESCOLA AUTO MEDRADO",NULL,"2003-02-17 00:00:00",5
"ESCOLA PRIMEIROS PASSOS",NULL,"1998-02-06 00:00:00",1
"FARMACIA DELLAVITA",NULL,"2003-02-05 00:00:00",3
"FARMACIAS DA ECONOMIA",NULL,"2005-03-07 00:00:00",3
"FAZENDA RECANTO",NULL,"2000-09-08 00:00:00",1
"FERRAGENS LUBRIFICANTES E AUTO PECAS VENHA K",NULL,"2000-08-28 00:00:00",3
"FIGUEREDO CONSTRUCOES",NULL,"2001-12-07 00:00:00",1
"FOTO VIP",NULL,"1998-02-03 00:00:00",1
FOTOGRAF,NULL,"2003-12-04 00:00:00",1
FRUTECON,NULL,"2000-04-12 00:00:00",5
"GRANFILITO E GRANMASSA",NULL,"1998-02-05 00:00:00",1
"GRUPO ESCOLAR SANTO ANTONIO",NULL,"2003-06-06 00:00:00",5
"HAVER SERVICOS LTDA",NULL,"2000-10-03 00:00:00",1
"IGREJA METODISTA CENTRAL RIO VERMELHO",NULL,"2000-12-15 00:00:00",5
INDRA,NULL,"1998-07-23 00:00:00",5
"INSTITUTO CONQUISTENSE DE ENDOCRINOLOGIA - ICEN",NULL,"1997-11-19 00:00:00",1
"J F GUERRA",NULL,"2003-06-25 00:00:00",1
"J.J.D. INFORMATICA",NULL,"1998-02-02 00:00:00",1
"JEREMIAS MOVEIS",NULL,"1998-08-11 00:00:00",1
"JOELMA MORENO",NULL,"2000-09-20 00:00:00",1
"LABORATORIO ANALISE",NULL,"1997-10-23 00:00:00",3
LABORCENTER,NULL,"2000-08-29 00:00:00",1
"LEIDE MODAS",NULL,"2002-01-24 00:00:00",1
"LOCADORA LEAO",NULL,"2000-08-31 00:00:00",1
"LOCADORA TRANCOSO",NULL,"2000-09-20 00:00:00",1
"LOGOS CONFECCOES EM GERAL",NULL,"2000-09-18 00:00:00",1
"LOTERIA SORTE DA TERRA",NULL,"2000-09-20 00:00:00",1
"LOTERIAS CRISTAL DA SORTE",NULL,"2000-08-11 00:00:00",1
"LU MODAS",NULL,"2002-08-01 00:00:00",1
LUMAHAY,NULL,"2000-05-05 00:00:00",3
"MADEIREIRA W. DOURADO",NULL,"2000-09-21 00:00:00",1
"MAGAZINE CENTRAL",NULL,"1998-01-22 00:00:00",1
MAQTEC,NULL,"1998-01-29 00:00:00",3
"MARMOARIA PINTOS",NULL,"2003-02-18 00:00:00",1
"MATERIAIS DE CONTRUO VADO",NULL,"2001-11-01 00:00:00",1
"MATOS VEICULOS E FINANCIAMENTOS",NULL,"2003-02-13 00:00:00",1
"MERCADINHO JULIANA",NULL,"2000-09-21 00:00:00",1
"MERCADINHO NASCER DO SOL",NULL,"2000-09-01 00:00:00",3
"MERCADINHO RABELO",NULL,"2000-08-14 00:00:00",1
METROCALLI,NULL,"2000-06-12 00:00:00",1
"MONITORY SISTEMA INTELIGENTE DE SEGURANA",NULL,"2000-09-26 00:00:00",1
MULTICOM,NULL,"2003-07-28 00:00:00",3
"MUQUEKA & CIA",NULL,"1998-01-21 00:00:00",1
NAREG,NULL,"1998-02-03 00:00:00",1
"ODONTOCLIN ODONTOLOGIA ESPECIALIZADA",NULL,"2000-05-17 00:00:00",1
"PANIFICADORA BELEM",NULL,"2000-09-26 00:00:00",1
PAPAGAS,NULL,"2000-09-28 00:00:00",1
"PECAS AUTOMOTIVAS BIAO",NULL,"1998-02-12 00:00:00",1
"PISCINA BLUE",NULL,"2000-08-16 00:00:00",1
"POSTO JOSE NUNES",NULL,"2001-10-15 00:00:00",5
"POSTO PIAUS",NULL,"2005-01-31 00:00:00",3
"POUSADA AZEVEDO",NULL,"1997-09-12 00:00:00",1
PRESTO,NULL,"1997-10-17 00:00:00",5
PRP,NULL,"2000-09-02 00:00:00",5
PT,NULL,"2000-05-29 00:00:00",5
"R M MODAS",NULL,"2000-06-14 00:00:00",1
"ROCHA'S CELULARES",NULL,"2000-09-14 00:00:00",1
"SCAPE SHOW - COMERCIO E SERVICOS",NULL,"1998-02-05 00:00:00",1
SERCOM,NULL,"1998-02-05 00:00:00",1
"SERQUEL COMERCIO E SERVICOS",NULL,"2000-06-06 00:00:00",1
"SERRARIA DO NORTE.",NULL,"2000-09-19 00:00:00",1
"STYLO UNIFORMES",NULL,"2002-02-01 00:00:00",1
"SUPER LIDER III",NULL,"2002-08-15 00:00:00",3
"SUPERMERCADO DO IVAN",NULL,"2000-07-28 00:00:00",1
"SUPERMERCADO J C",NULL,"2000-08-29 00:00:00",3
"TIAO BATERIAS E PECAS",NULL,"2003-06-09 00:00:00",1
"TORNOACO MULT-MATERIAIS",NULL,"1997-10-16 00:00:00",1
TRANSMUDANCA,NULL,"1998-02-04 00:00:00",1
"UEX-NEY BRAGA",NULL,"2000-06-14 00:00:00",5
